Héroe: abaddon | Set: BLIGHTFALL
Héroe: abaddon | Set: ENDLESS NIGHT
Héroe: abaddon | Set: PANTHOM BALLADEER
Héroe: abaddon | Set: SPECTRAL SHADOW
Héroe: alchemist | Set: COSMIC CONCOCTIONEERS
Héroe: alchemist | Set: DARKBREWS TRANSGRESSION
Héroe: alchemist | Set: TAUR RIDER
Héroe: ancient apparition | Set: APOCALYPSE UNBOUND
Héroe: ancient apparition | Set: FROZEN NOVA
Héroe: ancient apparition | Set: GILDED DECAY
Héroe: ancient apparition | Set: SECRETS OF THE FROST SINGULARITY
Héroe: ancient apparition | Set: UNCHAINED ENTROPY
Héroe: anti-mage | Set: BRANDS OF THE REAPER
Héroe: anti-mage | Set: HOWLS OF THE NORTHMARCH
Héroe: anti-mage persona | Set: DESIGNS OF THE DRAGON
Héroe: anti-mage persona | Set: PROSELYTE OF THE SAKURA CLAN
Héroe: anti-mage persona | Set: SPELLBREAKERS BRAID
Héroe: arc warden | Set: IRE OF THE ANCIENT GAOLER
Héroe: axe | Set: BOOTBLACK BRAWLER
Héroe: axe | Set: DAYS OF THE DEMON
Héroe: axe | Set: THE MOLTEN FIST
Héroe: batrider | Set: CHARMS OF THE FIREFIEND
Héroe: batrider | Set: PRIZED ACQUISITIONS
Héroe: bloodseeker | Set: FURY OF THE BLOODFORGE
Héroe: bounty hunter | Set: HEARTLESS HUNT
Héroe: bounty hunter | Set: VERMINATOR
Héroe: brewmaster | Set: THE WILDING TIGER
Héroe: bristleback | Set: BEAST OF THE CRIMSON RING
Héroe: bristleback | Set: BLASTMITT BERSERKER BUNDLE
Héroe: broodmother | Set: AUTOMATON ANTIQUITY
Héroe: broodmother | Set: LIMBS OF LYCOSIDAE
Héroe: broodmother | Set: VOLCANIC SANCTUARY
Héroe: broodmother | Set: WIDOW OF THE UNDERMOUNT GLOOM
Héroe: centaur warrunner | Set: CUNNING COUNTERFEIT
Héroe: centaur warrunner | Set: GOLDEN INFERNAL CAVALCADE
Héroe: centaur warrunner | Set: INFERNAL CAVALCADE
Héroe: chaos knight | Set: MELANGE OF THE FIRELORD
Héroe: chaos knight | Set: TALONS OF THE ENDLESS STORM
Héroe: chaos knight | Set: WRATH OF THE CELESTIAL SENTINEL
Héroe: chen | Set: HOUNDS OF OBSESSION
Héroe: chen | Set: PERILS OF THE RED BANKS
Héroe: clinkz | Set: WITHERING PAIN
Héroe: clinkz | Set: WITHERING PAIN_2
Héroe: clockwerk | Set: APEX AUTOMATED
Héroe: clockwerk | Set: APEX AUTOMATED_2
Héroe: clockwerk | Set: DIRECTIVE OF THE SUNBOUND
Héroe: clockwerk | Set: DIRECTIVE OF THE SUNBOUND_2
Héroe: clockwerk | Set: DISTINGUISHED FORGEMASTER
Héroe: clockwerk | Set: DISTINGUISHED FORGEMASTER_2
Héroe: clockwerk | Set: HARE OF THE COG
Héroe: clockwerk | Set: HARE OF THE COG_2
Héroe: clockwerk | Set: SEADOGS STASH
Héroe: clockwerk | Set: SEADOGS STASH_2
Héroe: crystal maiden persona | Set: CANIS CRYSTALLUM
Héroe: crystal maiden persona | Set: CANIS CRYSTALLUM_2
Héroe: crystal maiden persona | Set: NARWOLF NEBULA
Héroe: dark seer | Set: INSIGHT OF FORLORN PRECIPICE
Héroe: dark willow | Set: ARDALAN ARSONIST
Héroe: dark willow | Set: TWILIGHT HEX
Héroe: dawnbreaker | Set: ASTRAL HERALD
Héroe: dawnbreaker | Set: PERCEPTION OF THE FIRST LIGHT
Héroe: dawnbreaker | Set: RED DAWN
Héroe: dawnbreaker | Set: STARFORGE REFORMER
Héroe: dawnbreaker | Set: STARLORN ADJUDICATOR
Héroe: dazzle | Set: DEZUN VIPER
Héroe: dazzle | Set: NEEDLEPOINT NECROMANCER
Héroe: death prophet | Set: DARKWOOD EULOGY
Héroe: death prophet | Set: DARKWOOD EULOGY_2
Héroe: death prophet | Set: OATHS OF THE BELOVED
Héroe: death prophet | Set: OATHS OF THE BELOVED_2
Héroe: disruptor | Set: FURY OF THE RIGHTEOUS STORM
Héroe: disruptor | Set: TREMORS OF THE TANDEM STORM
Héroe: doom | Set: DAWN OF A DARKNESS FORETOLD
Héroe: doom | Set: HEAT OF THE SIXTH HELL
Héroe: doom | Set: IGNEOUS INFERNAL
Héroe: doom | Set: LINATY OF THE DAMNED
Héroe: doom | Set: WRATH OF THE FALLEN
Héroe: dragon knight | Set: DRACONIC DIVIDE
Héroe: dragon knight | Set: SILVERWURM SACRIFICE
Héroe: dragon knight | Set: SILVERWURM SACRIFICE_2
Héroe: drow ranger | Set: SIGHT OF THE KHA-REN FAITHFUL
Héroe: drow ranger | Set: STARNGER IN THE WANDERING ISLES
Héroe: earthshaker | Set: PALLBRINGER
Héroe: ember spirit | Set: MASTER OF THE SEARING PATH
Héroe: enchantress | Set: CAERULEAN STAR
Héroe: enchantress | Set: FLUTTERSTEP
Héroe: enchantress | Set: SONGS OF STARFALL GLEN
Héroe: enigma | Set: ANGEL OF THE ABYSS
Héroe: enigma | Set: ANGEL OF THE ABYSS_2
Héroe: enigma | Set: ASTRAL TERMINUS
Héroe: enigma | Set: ASTRAL TERMINUS_2
Héroe: enigma | Set: EVOLUTION OF THE INFINITE
Héroe: enigma | Set: EVOLUTION OF THE INFINITE_2
Héroe: enigma | Set: GRAVITON BLACKGUARD
Héroe: enigma | Set: GRAVITON BLACKGUARD_2
Héroe: faceless void | Set: CHINES OF THE INQUISITOR
Héroe: faceless void | Set: CHRONONAUT CONTINUUM
Héroe: faceless void | Set: TENDRILS OF THE TIMELESS
Héroe: grimstroke | Set: ELEGY OF THE REAPER
Héroe: grimstroke | Set: HERALD OF THE EMBER EYE
Héroe: grimstroke | Set: THE CHAINED SCRIBE
Héroe: gyrocopter | Set: ARCANE INVERTER
Héroe: hoodwink | Set: BILGE RAT BUCCANEER
Héroe: hoodwink | Set: SHADOWLEAF INSURGENT
Héroe: hoodwink | Set: THE STRINGS OF SURADAN BUNDLE
Héroe: hoodwink | Set: THE STRINGS OF SURADAN BUNDLE_2
Héroe: hoodwink | Set: TOMOKAN FOOTSOLDIER
Héroe: huskar | Set: BLEEDING EDGE
Héroe: huskar | Set: DRACA MANE
Héroe: huskar | Set: FLASHPOINT PROSELYTE
Héroe: huskar | Set: GOLDEN DRACA MANE
Héroe: huskar | Set: HIDES OF HOSTILITY
Héroe: huskar | Set: SACRED CHAMBER GUARDIAN
Héroe: huskar | Set: THE BURNING SENTINEL
Héroe: invoker persona | Set: ANGEL OF VEX
Héroe: invoker persona | Set: MAGUS MIMICRY
Héroe: invoker persona | Set: MAGUS MIMICRY_2
Héroe: invoker persona | Set: URCHIN OF KAZIM
Héroe: invoker persona | Set: URCHIN OF KAZIM_2
Héroe: jakiro | Set: ANCESTRAL HERITAGE
Héroe: jakiro | Set: FISSURED FLIGHT
Héroe: juggernaut | Set: ANCIENT EXILE
Héroe: juggernaut | Set: LINAGE OF THE STORMLORDS
Héroe: keeper of the light | Set: THE KING OF THIEVES
Héroe: kunkka | Set: SEA SPIRIT
Héroe: legion commander | Set: BIRD OF PREY
Héroe: legion commander | Set: TRIUMPH OF THE IMPERATRIX
Héroe: lifestealer | Set: OBSIDIAN ATROCITY
Héroe: lina | Set: DEAD HEAT
Héroe: lina | Set: FLAME OF ORIGIN
Héroe: lina | Set: GLORY OF THE ELDERFLAME
Héroe: lion | Set: CAPRINE CHIMERA
Héroe: lion | Set: NEFARIOUS FIXATIONS
Héroe: luna | Set: BLOODMOON STALKER
Héroe: luna | Set: SEEKER OF THE CRESCENT WHEEL
Héroe: lycan | Set: CREED OF THE SKULLHOUND
Héroe: lycan | Set: CREED OF THE SKULLHOUND_2
Héroe: marci | Set: BRIGHTFIST
Héroe: marci | Set: COSMIC CARTOGRAPHER
Héroe: marci | Set: FAITHFUL FORTUNE
Héroe: marci | Set: LITTLE RED
Héroe: marci | Set: LITTLE RED_2
Héroe: marci | Set: SCHOOL OF THE SOLAR FANG
Héroe: mars | Set: FORGOTTEN FATE
